uid,descriptor,vocabulary,description,name_displayname,lat,long,birth_year_yyyy,death_year_yyyy,feature_type,year_started_yyyy,year_ended_yyyy,occupation
18561774,A. Samad Ismail,_People,"Journalist, political activist, and creative writer, known for promoting Malay nationalism. He was a founding member of the Gerakan Angkatan Muda (Geram) and of the People's Action Party. He was Chairman of the Malaysian Press Institute and a founding member of the National Association of Writers (PENA). He was managing editor and later editorial adviser of the New Straits Times Press (NSTP) in Malaysia.",A. Samad Ismail,na,na,1924,2008,na,na,na,Journalist | Writer
18338842,Aaloka Buddhist Centre,_Organisations,A Sri Lankan Buddhist centre in Singapore. It holds meditation sessions and Dhamma classes and offers a Diploma in Buddhist Studies.,na,na,na,na,na,na,2005,na,na
18598438,"Aaron Aziz, Datuk",_People,"Singaporean actor well known for playing characters in MediaCorp's English Channel 5 and Malay Suria television series, such as ""Heartlanders"" and ""Janji Diana"". He has been based in Malaysia since 2005 and was conferred the honour Darjah Indera Mahkota Pahang (DIMP), with the title of Datuk, by Crown Prince Tengku Abdullah Sultan Ahmad Shah of the Malaysian state of Pahang on 16 December 2017. His full name is Aaron Mustapha bin Aziz.",Aaron Aziz,na,na,1976,na,na,na,na,Actor | Singer
18606890,"Abaya, Leo",_People,"Filipino multi-media artist and production designer who is known for integrating collage, conceptual art, costumes, film, installation, literary art, painting, print, set design and sculpture in his works. He teaches studio art at the University of the Philippines and was the production designer for films such as ""José Rizal"" and ""Muro-Ami"".",Leo Abaya,na,na,1960,na,na,na,na,Artist | Academic
18533818,Abbas Abu Amin,_People,"Member of Parliament for Pasir Panjang (1980-1988) and Pasir Panjang Group Representation Constituency (GRC) (1988-1991), Assistant Director of the National Trades Union Congress (NTUC) (1980-1994) and Justice of the Peace (2001). A retired Major of the Singapore Armed Forces, he also served as the Chairman of the Football Association of Singapore (1988-1991).",Abbas Abu Amin,na,na,1937,na,na,na,na,Politician | Member of Parliament | Justice of the Peace | Trade Unionist | Army officer
18347587,Abbotsingh Road,_Geographics,A road located off Martlesham Road near Changi Camp and Changi Air Base (West). The name could have originated from Abbotsinch Air Station in Glasgow.,na,1.3791969,103.9835522,na,na,street,na,na,na
18487249,Abdolah Lamat,_People,"Primary school teacher who taught music and Malay since 1965. He is the composer of national songs such as ""Singapura Jaya"" and ""Maanavar Kadamai"" which was selected for Sing Singapore programme in 1994. He also formed the band, The Bluebirds. He wrote the book ""Nyanyi dan Baca Bersama Datuk dan Nenek"" (2019).",Abdolah Lamat,na,na,na,na,na,na,na,Teacher | Composer
18533543,Abdul Aleem Siddique Mosque (Place),_GeoBuildings,"A mosque built in 1957 located in the East amidst a private residential area, and named after its founder, an Islamic missionary. Initially, the Mosque was managed by the All-Malaya Muslim Missionary Society (now known as JAMIYAH) and later, by residents in the area who formed a committee. When the Administration of Muslim Law Act (AMLA) was implemented, the Mosque's administration and management came under the Islamic Religious Council of Singapore (MUIS).",na,1.313067,103.912679,na,na,mosque,na,na,na
18533819,Abdul Aziz Karim,_People,Member of Parliament for Kallang (1968-1976) and President of United Workers of Petroleum Industry (1968-1976).,Abdul Aziz Karim,na,na,1933,na,na,na,na,Member of Parliament | Trade unionist
18557261,Abdul Aziz Pakkeer Mohamed,_People,"Author and artist. He was a teacher from 1959 to 1997. He started writing in 1960, and has written poems, short stories, plays and critical essays. He uses the pen name Azizfakir in publications such as ""Kelahiran: puisi-puisi pilihan 1960-1980"" (1984).",Abdul Aziz Pakkeer Mohamed,na,na,1940,na,na,na,na,Teacher | Writer | Painter (Art)
18341885,Abdul Gafoor Mosque (Place),_GeoBuildings,Mosque with mainly Tamil-speaking worshippers. Construction of this mosque started in 1907. Restoration work was done between 2000 to 2003. It was gazetted as a national monument on 7 May 1979.,na,1.304484,103.8536895,na,na,mosque,na,na,na
18338413,Abdul Halim Haron,_People,"Bodybuilder who won the bronze medal at the 2000 Asian Championship and the Singapore National Title in 2001. He was the gold medalist at the 2002 Asian Games in Busan, in the men's bantamweight (65kg) category.",Abdul Halim Haron,na,na,1972,na,na,na,na,Bodybuilder
18606982,Abdul Hamid Haji Jumat,_People,"Deputy Chief Minister of Singapore (1956-1959) and Minister for Local Government, Lands and Housing (1955-1959). He was the Member of Legislative Assembly for Ulu Bedok (April 1955-1959) and Geylang Serai (1959-1963). He also established the Singapore branch of the United Malays National Organisation (UMNO) and was the Chairman of UMNO between 1954 and 1959. He represented UMNO-MCA Alliance during the All-Party Constitutional Mission to London in 1957, and was appointed Ambassador of Malaysia to Germany (1964-1965), Netherlands (1965), Phillipines (1966-1968) and United Arab Republic (1968-1971).",Abdul Hamid bin Haji Jumat,na,na,na,na,na,na,na,Politician | Member of Parliament | Diplomat
18533545,Abdul Hamid Kampung Pasiran Mosque (Place),_GeoBuildings,A mosque built in 1932. It is situated near Novena and Newton. The mosque underwent major repairs in 1995.,na,1.319989,103.841033,na,na,mosque,na,na,na
18557268,Abdul Jalil Abdul Kadir,_People,"Prolific poet, and writer of short stories, essays and criticism, using the pen name Ajaki. He also painted. He was a teacher for 37 years before retiring in 2005.",Abdul Jalil bin Abdul Kadir,na,na,1948,na,na,na,na,Teacher | Writer
18549104,Abdul Kadir Ibrahim,_People,"Silat exponent. Winner of the Match Male Class 'E' title, 5th World Championships, Kuala Lumpur, 1997, and Gold Medal, Match Male Class 'E' title, Southeast Asian Games, Brunei, 1999.",Abdul Kadir Ibrahim,na,na,1972,2013,na,na,na,Martial artist
18560836,Abdul Kadir Pandi,_People,"Malay-language author who writes poetry, short stories, literary articles and drama scripts. He was also active in drama, having attended courses at Malay youth literary association, Persatuan Persuratan Pemuda Pemudi Melayu (4PM), and worked as a drama trainer.",Abdul Kadir Pandi,na,na,1951,na,na,na,na,Writer
18540383,"Abdul Kadir, Syed",_People,"Singapore national boxer. Won the Singapore Open (1968) and National Championship (1969) in boxing, bronze medal at the South East Asian Peninsular (SEAP) Games in Bangkok (1969), gold medal at the SEAP Games in Kuala Lumpur (1971) and silver at the SEAP Games in Singapore (1973). He also won the bronze medal at the 1974 Commonwealth Games. Represented Singapore at the Munich Olympic Games in 1972. Declared Sportsman of the Year in 1974. He became a boxing coach after his retirement from boxing in 1976.",Syed Abdul Kadir,na,na,1948,na,na,na,na,Coach (Sports) | Boxer (Athlete)
18560905,Abdul Majid Ismail,_People,"First Malaysian Chief Orthopaedic Surgeon at the Kuala Lumpur General Hospital, taking over from a British. In 1969, he was appointed Deputy Director of Health at the Ministry of Health, and was promoted to Director General of Health, Malaysia, in 1971. He was the founding President of the Malaysian Orthopaedic Association from 1967 to 1982.",Abdul Majid Ismail,na,na,1921,2013,na,na,na,Orthopaedic surgeon | Civil servant
18612303,Abdul Multhalib Musa,_People,"Malaysian wood and stainless steel sculptor. He was the artist-in-residence at Rimbun Dahan, Malaysia in 2001 and the artist-in-residence at the Gunnery Studios in Sydney in 2004. His works include ""Sixty Turns"" which was commissioned by Rimbun Dahan.",Abdul Multhalib Musa,na,na,1976,na,na,na,na,Sculptor
18530637,Abdul Nasser Kamarudin,_People,Member of Parliament for Hong Kah GRC (1988-1991).,Abdul Nasser Kamarudin,na,na,1957,na,na,na,na,Member of Parliament | Politician
18525938,Abdul Rahim bin Abdul Rahman,_People,"Abdul Rahim was the candidate for the Barisan Sosialis in the 1972 (Delta) and 1976 (Toa Payoh) parliamentary elections. In 1997 and 2006, he contested for the Worker's Party at Pasir Ris GRC and East Coast GRC respectively.",Abdul Rahim bin Abdul Rahman,na,na,1940,na,na,na,na,Politician
18532807,Abdul Rahim Ishak,_People,"Member of Parliament turned diplomat. He began his career in journalism before turning to politics. He was Member of Parliament for Siglap from 1963 to 1984, and during that time served as Minister of State for Education and Foreign Affairs. He also served as Ambassador to the Republic of Indonesia (1974- 1977) and High Commissioner to New Zealand (1981- 1987). He retired in 1987, and passed away in 2001 after a long illness.",Abdul Rahim Ishak,na,na,1925,2001,na,na,na,Diplomat | Member of Parliament | Politician | Journalist
18576752,Abdul Rahim Jalil,_People,"District Judge. He was Attorney-General’s Chambers State Counsel (1971-1972), Judiciary Magistrate, Subordinate Courts (1972-2010) and Deputy Registrar, Subordinate Courts (1996-2010). He had also served as Traffic Court judge, Juvenile Court Magistrate (1970s), and President of the Syriah Court.",Abdul Rahim Jalil,na,na,1948,na,na,na,na,Judge
18526410,Abdul Rahman Mohamad,_People,Singapore Democratic Alliance candidate for Tampines GRC during the General Election of 2006.,Abdul Rahman Mohamad,na,na,1952,na,na,na,na,Politician
18587818,"Abdul Rahman, Sultan",_People,Malay royal and son of Sultan Mahmud of the Johor-Riau kingdom. He was installed as Sultan in 1823. He lost the states of Johor and Pahang to the Dutch and the East India Company in 1824. His son Sultan Muhammad Syah succeeded him after his death.,Sultan Abdul Rahman,na,na,1780,1831,na,na,na,Ruler
18556705,"Abdul Rahman, Temenggong",_People,"Abdul Rahman was conferred the office of Temenggong by Sultan Mahmud, the sultan of the Johor-Riau Kingdom. His domains included Singapore. He met Sir Stamford Raffles in Jan 1819 and signed an agreement allowing the East India Company (EIC) to set up a trading post in Singapore. On 6 Feb 1819, the Singapore Treaty was signed between Abdul Rahman, Raffles and the sultan, Tengku Hussein. A new treaty was signed by Abdul Rahman and Sultan Husain on 3 Aug 1824, which fully ceded Singapore to the EIC in exchange for cash.",Temenggong Abdul Rahman,na,na,na,1825,na,na,na,na
18556943,"Abdul Rahman, Tunku",_People,"Malaysian politician. He is the first prime minister of independent Malaya after independence (1957-1963) and later, of Malaysia (1963–70).",Tunku Abdul Rahman,na,na,1903,1990,na,na,na,Politician | Cabinet Minister
18608688,"Abdul Razak Hussein, Tun",_People,"Prime Minister, Foreign Minister and Defense Minister of Malaysia (1970-1976). He is known for launching the New Economic Policy and regarded as Malaysia's “Father of Development”.",Tun Abdul Razak Hussein,na,na,1922,1976,na,na,na,Politician
18560837,Abdul Salam Ayub,_People,"Malay-language writer who wrote poetry, short stories and literary essays in Berita Harian and Color Malaya Magazine, under a variety of names, such as ""A. Salam"", ""A. Affan Segamat"", ""Abdul Salam Affandi"", ""Abdul Salam"", ""Surya Nagara"", ""Adi Negara"" and ""Anjar"".",Abdul Salam Ayub,na,na,1919,na,na,na,na,Writer
18525943,Abdul Salim Harun,_People,One of the youngest Workers' Party candidates who contested in Ang Mo Kio GRC at the General Election of 2006. He resigned from the Workers' Party and joined the National Solidarity Party.,Abdul Salim Harun,na,na,1982,na,na,na,na,Politician
18586676,Abdul Samad,_People,"Malay doctor who started his practice in the government service in the 1920s, and in private practice after the war. He co-founded the Muslim Institute in 1921, provided educational help to Malay school children. He also helped to form the Kesatuan Melayu Singapura (The Singapore Malay Union) in 1926.",Abdul Samad,na,na,na,na,na,na,na,Doctor
18560838,Abdul Samad Salimin,_People,"Malay-language writer who sometimes goes by the pen names of ""Asmin"" and ""Biduan Malam"", in works spanning short stories, poetry, essays, literary criticisms, song lyrics and scripts. Is involved heavily in the acitivities of literary circles, such as Angkatan Sasterawan '50 (ASAS '50), the Malay Language Council, Singapore, the National Book Development Council of Singapore Award Jury Panel, and the Singapore Writers Week.",Abdul Samad Salimin,na,na,1955,na,na,na,na,Writer
18560839,Abdul Wahab bin Hamzah,_People,"Malay-language fiction writer and retired teacher of Higher Malay at the Ministry of Education Language Centre. Apart from active involvement in several community groups, such as the Al-Khair Mosque Committee and Pasir Panjang Residents Committee, he was also active in a number of Malay literary groups, such as Angkatan Sasterawan '50 (ASAS '50) and the Malay Language Council, Singapore.",Abdul Wahab bin Hamzah,na,na,1947,na,na,na,na,Educator | Writer
18590263,Abdullah Ahmad Badawi,_People,"Prime minister of Malaysia (2003–2009), and the President of the United Malays National Organisation.",Abdullah Ahmad Badawi,na,na,1939,na,na,na,na,Politician
18586678,"Abdullah Al-Khatib, Umar",_People,Islamic scholar and teacher who migrated to Singapore in 1935. He started his religious classes in 1977 and also taught Arabic grammar.,Umar Abdullah Al-Khatib,na,na,1908,1997,na,na,na,Scholar | Teacher
18593521,Abdullah Ariff,_People,"Malaysian self-taught artist and art teacher at the Anglo Chinese School in Penang. He is acknowledged as one of the pioneers in watercolour painting in Malaysia. He worked as a cartoonist at the Straits Echo in Kuala Lumpur from 1945 to 1947, and served as a city councillor in Penang in 1955. Jalan Abdullah Ariff in Penang was named after him.",Abdullah Ariff,na,na,1904,1962,na,na,na,Artist | Art teacher
18583560,Abdullah Hamid,_People,Reserve goalkeeper for hockey at the 1956 Melbourne Olympic Games who helped to secure his team's position at 8th place during the matches against eventual champions India and Australia. He had also played for Singapore in the inter-state hockey tournament between 19 Signals Regiment of Singapore and the 17th Gurkha Signals of Malaya in 1965.,Abdullah Hamid,na,na,1931,na,na,na,na,Hockey player
18338328,"Abdullah, Munshi",_People,"Language teacher and interpreter who wrote the critically acclaimed ""Hikayat Abdullah""(1849), which in Malay means the ""Story of Abdullah"", the first written account of everyday life in Malaya. He came to Singapore in 1819 to make a living as an interpreter. He taught Malay to Indian soldiers, British and American missionaries, and on occasion, was private secretary to Sir Stamford Raffles.",Munshi Abdullah,na,na,1797,1854,na,na,na,Writer | Teacher | Interpreter
18551573,Abdullah Tarmugi,_People,Politician. He was an urban sociologist at the Ministry of National Development (1970-1980) and Journalist (1980-1993) prior to entering politics. He was elected Member of Parliament for Siglap in 1984. He served as Minister in-charge of Muslim Affairs (1993-2002) and Minister for Community Development. He was Speaker of Parliament from 2002 till 2011 when he retired from politics. He has served as a member of the Presidential Council for Minority Rights since 2012. He was also Chairman of Board of Directors of Yayasan MENDAKI from 1993 to 2002.,Abdullah Tarmugi,na,na,1944,na,na,na,na,Cabinet Minister | Member of Parliament | Politician | Journalist
18347588,Abingdon Road,_Geographics,"A road located off Upper Changi Road North. It was named after RAF Abingdon in Oxfordshire, South East England.",na,1.3673084,103.9796407,na,na,street,na,na,na
18588415,Abingdon Tunnels,_Geographics,Underground ammunition bunker located at Abingdon and Cosford Roads in Changi. It was built by the British before World War II to accommodate their 15 inch guns. It was part of the Johor Battery that protected Singapore against sea attacks. The guns were dismantled before the British surrender in 1942. The place was marked as a historic site in 2002.,na,na,na,na,na,historical site,na,na,na
18517127,"Abisheganaden, Alex",_People,"Singapore's first homegrown classical guitarist who dedicated his life popularising the guitar as a musical instrument. He was awarded the Cultural Medallion in 1988. His brother, Paul Abisheganaden, was also a Cultural Medallion decorated musician.",Alex Abisheganaden,na,na,1926,na,na,na,na,Musician | Teacher
18489866,"Abisheganaden, Jacintha",_People,"Jazz singer, actress and entertainer. Albums released include ""Silence"" (1983) and ""Jacintha Goes to Hollywood"" (2007). She is the daughter of musician and Cultural Medallion recipient Alex Abisheganaden.",Jacintha Abisheganaden,na,na,1957,na,na,na,na,Singer | Actor
18517129,"Abisheganaden, Paul",_People,"Musician and conductor. He was Singapore's first home-grown orchestral and choral conductor, and was affectionately referred to as Singapore's Grand Old Man of Music. He founded the Singapore Chamber Ensemble in 1949. For his services to music and culture in Singapore, he was awarded the Cultural Medallion in 1986, an award his musician brother, Alex Abisheganaden, later also received in 1988.",Paul Abisheganaden,na,na,1914,2011,na,na,na,Educator | Musician | Conductor (Music)
18616125,"Abraham, Julian ‘Togar’",_People,"Indonesian artist, programmer and musician who is known for combining installation, sound, music, programming and science in his artworks. He was also involved with HONF (The House Of Natural Fiber), a media artist collective based in Yogyakarta, Indonesia, between 2006 and 2011.",Julian Abraham ‘Togar’,na,na,1987,na,na,na,na,Artist
18556946,"Abu Bakar Hashim, Ustaz Haji",_People,"Religious scholar who was Registrar at the Registry of Muslim Marriages (1966-1984). He then became the President of the Syariah Court for 10 years, and following that, council member for the Islamic Religious Council of Singapore (MUIS) from 1995 to 2001. He was also President of the Association of Religious Teachers of Singapore.",Abu Bakar bin Hashim,na,na,1934,2005,na,na,na,Religious leader
18560929,Abu Bakar Maidin,_People,"President of Jamiyah Singapore (officially known as Persekutuan Seruan Islam Singapura), from 1970 to 18 September 2010.",Abu Bakar Maidin,na,na,1927,na,na,na,na,Social worker
18551667,Abu Bakar Pawanchee,_People,Singapore's first permanent secretary of the Ministry of Foreign Affairs and first permanent representative to the United Nations (appointed in 1965).,Abu Bakar bin Pawanchee,na,na,na,na,na,na,na,Diplomat
18587820,"Abu Bakar, Sultan",_People,"Malay royal and son of Temenggong Tun Raja Daing Ibrahim, the ruler of Johor. He succeeded his father in 1862 and reigned until 1895, as Temenggong of Johor (1862-1868); Maharaja of Johor (1868-1886); and Sultan of Johor (1886-1895). He made Johor Bahru as his administrative centre, and developed Johor’s infrastructure, administrative system, military and civil service along western lines.",Sultan Abu Bakar,na,na,1833,1895,na,na,na,Ruler
18543162,Abu Jalal Sarimon,_People,"Singapore artist whose works include landscape art, explorations of the human form, abstract social commentary pieces and pop art. He is proactive in bridging ties with non-Malay artists in Singapore and overseas by involving in an an art project organised by the Chinese Cultural Centre in Singapore based on research of Chinese labour immigrants who wanted to carve a living in Singapore and other countries. Among his works in the Singapore National Collection is ""Common Interest"" (1992). He is a Training Curriculum Project Officer at the Singapore Police Force by profession.",Abu Jalal Sarimon,na,na,1964,na,na,na,na,Painter (Art)
18586264,Abundant Grace Presbyterian Church (Place),_GeoBuildings,Presbyterian church catering to a Chinese speaking congregation. The church building was opened on 8 April 1962.,na,1.397601,103.873577,na,na,church,na,na,na
18594537,"Academy of Medicine, Singapore",_Organisations,Professional institution that provides postgraduate specialist training to medical and dental specialists. It was established in 1957 and incorporated as a company limited by guarantee in 1977.,"Academy of Medicine, Singapore",na,na,na,na,na,1957,na,na
18612492,Accelerate Technologies,_Organisations,"The commercialization arm of the Agency for Science, Technology and Research, A*STAR. It drives innovation and commercializes the research outcomes of A*STAR. It was formerly known as Exploit Technologies.",A*ccelerate,na,na,na,na,na,2018,na,na
18561589,Accounting Standards Council (Singapore),_Organisations,"Government-appointed council mandated by the Accounting Standards Act (2007) to prescribe accounting standards for companies, charities, co-operative societies and societies.",Accounting Standards Council,na,na,na,na,na,2007,na,na
18545044,ACI Singapore – The Financial Markets Association,_Organisations,An organisation which represents the interests of professionals in the financial market industry in Singapore. It was renamed from Forex Association of Singapore.,ACI Singapore,na,na,na,na,na,1998,na,na
18583937,ACS House,_GeoBuildings,The shophouse where Rev. W.F. Oldham founded Anglo Chinese School in 1886. The school started with 13 students. The shophouse is a conserved building within the Chinatown - Telok Ayer Conservation Area. It was designated a historic site by the National Heritage Board in 1998.,na,1.280178,103.846541,na,na,historical site,na,na,na
18531182,Act 3,_Organisations,Local children’s theatre company. It was renamed as Act 3 Theatrics Pte Ltd in 1984. It changed its name to Act 3 International in 1994 to focus on expanding overseas.,na,na,na,na,na,na,1984,1994,na
18339087,Act 3 International,_Organisations,"Theatre company. It was set up in 1984 as a children’s theatre company called Act 3, changed its name to Act 3 Theatrics in the same year and renamed Act 3 International in 1994 to focus on expanding it overseas. It focuses on drama for children, teen theatre, arts education and holiday workshops.",Act 3 International,na,na,na,na,na,1994,na,na
18588786,Action for AIDS,_Organisations,"Volunteer non-government organisation formed in 1988 to raise awareness of HIV-AIDS and to help those suffering from it. It implements educational, testing, treatment and welfare programmes for patients and provides them with medical subsidies, legal assistance and social support.",Action for AIDS,na,na,na,na,na,1988,na,na
18339088,ACTION Theatre,_Organisations,"A non-profit professional theatre company founded by Ekachai Uekrongtham, who is also its artistic director. Its focus is on developing and presenting original new plays and musicals, including ""Chang & Eng - The Musical"" and ""Corporate Animals"".",ACTION Theatre,na,na,na,na,na,1987,na,na
18345542,Adam Drive,_Geographics,"A road off Adam Road. It was named after Frank Adam, former managing director of the Pulau Brani Tin Smeltering Works and president of St Andrew's Society.",na,1.3361834,103.8118227,na,na,street,na,na,na
18592146,Adam Food Centre,_GeoBuildings,Food centre located on the corner of Adam Road and Dunearn Road. It was officially opened on 28 September 1974 by Mr E W Barker. It replaced the Adam Road Hawker Centre originally located by the Bukit Timah Canal.,na,1.3241599,103.8141659,na,na,market,na,na,na
18343206,Adam Road,_Geographics,"Located between Farrer Road and Lornie Road. It was named after Frank Adam, president of the St Andrew's Society.",na,1.3262496,103.8139586,na,na,street,na,na,na
18586563,Adam Road Hospital,_Organisations,"A private psychiatric hospital, formerly known as the Singapore Nursing Home. It had an Admissions Assistance Unit facility which assisted with problematic admissions, a Forensic Psychiatry and Psychology Unit which provided medico-legal opinions and court attendance services, a Total Wellness Centre established in 1993 to promote public awareness of mental illness, and a Child & Adolescent Psychiatry Unit added in 1995 to serve the special needs of the young and their families. It was renamed Adam Road Medical Centre in 2007.",Adam Road Hospital,na,na,na,na,na,1980,2007,na
18586562,Adam Road Medical Centre,_Organisations,"Adam Road Medical Centre is a private psychiatric medical centre. It provides outpatient psychiatric services for children, adults and the elderly. It was previously known as Singapore Nursing Home (1973-1980) and Adam Road Hospital (1980-2007).",Adam Road Medical Centre,na,na,na,na,na,2007,na,na
18588711,The Adelphi,_GeoBuildings,"Commercial building known for housing specialist stores dealing in high-end audio equipment. It occupies the site of the Adelphi Hotel which was demolished in 1979. It was originally known as Adelphi Complex and later, The Adelphi.",na,1.291185,103.8511842,na,na,office building,na,na,na
18588709,Adelphi Hotel,_GeoBuildings,"The hotel, owned by Jewish trader Sir Manasseh Meyer, was originally established in 1863 at Raffles Place before relocating permanently to No. 1 and 2 Coleman Street, at the corner of North Bridge Road in the 1880s. It was bought over by Arathoon Sarkies and Eleazar Johannes in 1903. The hotel closed down in 1973 and was demolished in 1979. Adelphi Complex (later known as The Adelphi) was built on the site in 1985.",na,1.291185,103.8511842,na,na,hotel,na,na,na
18607294,"Adipurnomo, Nindityo",_People,"Indonesian artist who use his artworks to comment societal issues such as power, tradition, values, gender, and religion. He is the co-founder of the Cemeti Art House and was repsonsible for setting up The Cemeti Art Foundation in 1995.",Nindityo Adipurnomo,na,na,1961,na,na,na,na,Mixed media artist
18588054,"Adis, Nissim Nassim",_People,"Jewish businessman who arrived in Singapore in 1893, and amassed great wealth from trading stocks and selling real estate. He was the proprietor of Hotel de L'Europe and the head of Adis & Co., his stockbroking firm. He was also known for building an imposing family mansion, the Adis Lodge, atop Mount Sophia in 1907. It was later sold to Eu Tong Sen. Adis Road was named after him.",Nissim Nassim Adis,na,na,1857,1927,na,na,na,Business person
18346221,Adis Road,_Geographics,"Road that joins Mt Sophia at one end and Sophia Road at the other end. It was named in 1905 after Nissim N. Adis, who owned a mansion known as Adis Lodge. This road was originally a private road leading to his house.",na,1.3006313,103.8483723,na,na,street,na,na,na
18343459,Admiralty,_Geographics,"A subzone of the Sembawang planning area in the North Region of Singapore. It is bounded by Canberra Road, Admiralty Road West, Admiralty Road East and Sembawang Road. Street names in the area reflect the area's association with the large British Naval Base that was located in Sembawang.",na,na,na,na,na,administrative division,na,na,na
18345130,Admiralty Drive,_Geographics,Road located off Sembawang Way and Canberra Road. Its name reflects the area's association with the large British naval base which was established here between 1923 and 1941.,na,1.4504593,103.8166194,na,na,street,na,na,na
18345138,Admiralty Lane,_Geographics,Road that links Sembawang Drive and Canberra Road. Its name reflects the area's association with the large British naval base which was established here between 1923 and 1941.,na,1.4577423,103.8176066,na,na,street,na,na,na
18345139,Admiralty Link,_Geographics,Road located between Sembawang Drive and Admiralty Lane. Its name reflects the area's association with the large British naval base which was established here between 1923 and 1941.,na,1.4549434,103.8173611,na,na,street,na,na,na
18604651,Admiralty Medical Centre,_Organisations,Medical centre that provides specialist outpatient consultations and some day surgery procedures. It is located at the retirement community of Kampung Admiralty.,Admiralty Medical Centre,na,na,na,na,na,2017,na,na
18520609,Admiralty Park,_Geographics,"A park situated in Woodlands with both an urban park as well as a nature area with a rich biodiversity. It includes a playground featuring 26 slides, an inclusive playground and walking trails.",na,1.4494886,103.7791194,na,na,park,na,na,na
18488061,Admiralty Primary School,_Organisations,Government primary school that started in 1997.,Admiralty Primary School,na,na,na,na,na,1997,na,na
